year,quarter,segment,incoming_count,incoming_pct,outgoing_count,outgoing_pct,avg_outgoing_tenure_years,company_count
2021,3,EuroNext100,,,,,,100
2021,3,FTSE250,,,,,,250
2021,3,HANGSENG,5,6.7,3,4.0,12.0,75
2021,3,Nikkei225,2,0.9,,,,225
2021,3,NSENifty50,,,,,,50
2021,3,SPTSX Composite,3,1.3,4,1.8,9.7,226
2021,3,STI,1,3.4,,,,29
2021,3,SMI,,,,,,20
2021,4,Global,26,1.4,32,1.7,7.8,1855
2021,4,SP500,6,1.2,11,2.2,6.2,500
2021,4,FTSE100,,,,,,100
2021,4,ASX200,,,,,,200
2021,4,CAC40,,,,,,40
2021,4,DAX40,,,,,,40
2021,4,EuroNext100,,,,,,100
2021,4,FTSE250,,,,,,250
2021,4,HANGSENG,1,1.3,1,1.3,2.2,75
2021,4,Nikkei225,,,,,,225
2021,4,NSENifty50,,,,,,50
2021,4,SPTSX Composite,5,2.2,7,3.1,9.0,226
2021,4,STI,1,3.4,1,3.4,8.0,29
2021,4,SMI,,,,,,20
2022,1,Global,59,3.2,46,2.5,7.7,1855
2022,1,SP500,22,4.4,17,3.4,9.3,500
2022,1,FTSE100,,,,,,100
2022,1,ASX200,,,,,,200
2022,1,CAC40,,,,,,40
2022,1,DAX40,,,,,,40
2022,1,EuroNext100,,,,,,100
2022,1,FTSE250,,,,,,250
2022,1,HANGSENG,2,2.7,3,4.0,6.6,75
2022,1,Nikkei225,5,2.2,1,0.4,0.8,225
2022,1,NSENifty50,,,,,,50
2022,1,SPTSX Composite,11,4.9,6,2.7,10.0,226
2022,1,STI,1,3.4,1,3.4,17.9,29
2022,1,SMI,,,,,,20
2022,2,Global,63,3.4,65,3.5,7.7,1855
2022,2,SP500,13,2.6,14,2.8,9.0,500
2022,2,FTSE100,,,,,,100
2022,2,ASX200,,,,,,200
2022,2,CAC40,,,,,,40
2022,2,DAX40,,,,,,40
2022,2,EuroNext100,,,,,,100
2022,2,FTSE250,,,,,,250
2022,2,HANGSENG,2,2.7,4,5.3,8.1,75
2022,2,Nikkei225,14,6.2,1,0.4,9.0,225
2022,2,NSENifty50,,,,,,50
2022,2,SPTSX Composite,10,4.4,10,4.4,9.3,226
2022,2,STI,2,6.9,1,3.4,0.5,29
2022,2,SMI,,,,,,20
2022,3,Global,39,2.1,40,2.2,6.7,1855
2022,3,SP500,14,2.8,13,2.6,7.1,500
2022,3,FTSE100,,,,,,100
2022,3,ASX200,,,,,,200
2022,3,CAC40,,,,,,40
2022,3,DAX40,,,,,,40
2022,3,EuroNext100,,,,,,100
2022,3,FTSE250,,,,,,250
2022,3,HANGSENG,1,1.3,1,1.3,1.9,75
2022,3,Nikkei225,,,,,,225
2022,3,NSENifty50,,,,,,50
2022,3,SPTSX Composite,2,0.9,4,1.8,8.2,226
2022,3,STI,,,,,,29
2022,3,SMI,,,,,,20
2022,4,Global,33,1.8,50,2.7,7.3,1855
2022,4,SP500,11,2.2,17,3.4,8.1,500
2022,4,FTSE100,,,,,,100
2022,4,ASX200,,,,,,200
2022,4,CAC40,,,,,,40
2022,4,DAX40,,,,,,40
2022,4,EuroNext100,,,,,,100
2022,4,FTSE250,,,,,,250
2022,4,HANGSENG,,,,,,75
2022,4,Nikkei225,1,0.4,,,,225
2022,4,NSENifty50,,,,,,50
2022,4,SPTSX Composite,4,1.8,4,1.8,7.8,226
2022,4,STI,,,,,,29
2022,4,SMI,,,,,,20
2023,1,Global,56,3.0,41,2.2,9.1,1855
2023,1,SP500,15,3.0,14,2.8,9.4,500
2023,1,FTSE100,,,,,,100
2023,1,ASX200,,,,,,200
2023,1,CAC40,,,,,,40
2023,1,DAX40,,,,,,40
2023,1,EuroNext100,,,,,,100
2023,1,FTSE250,,,,,,250
2023,1,HANGSENG,3,4.0,1,1.3,15.6,75
2023,1,Nikkei225,1,0.4,1,0.4,4.9,225
2023,1,NSENifty50,,,,,,50
2023,1,SPTSX Composite,8,3.5,6,2.7,9.9,226
2023,1,STI,2,6.9,1,3.4,13.8,29
2023,1,SMI,,,,,,20
2023,2,Global,74,4.0,70,3.8,9.2,1842
2023,2,SP500,16,3.2,14,2.8,11.1,500
2023,2,FTSE100,,,,,,100
2023,2,ASX200,,,,,,200
2023,2,CAC40,,,,,,40
2023,2,DAX40,,,,,,40
2023,2,EuroNext100,,,,,,83
2023,2,FTSE250,,,,,,250
2023,2,HANGSENG,2,2.6,3,3.8,3.6,78
2023,2,Nikkei225,18,8.0,3,1.3,17.7,225
2023,2,NSENifty50,,,,,,50
2023,2,SPTSX Composite,12,5.3,8,3.5,14.7,226
2023,2,STI,,,,,,30
2023,2,SMI,,,,,,20
2023,3,Global,27,1.5,39,2.1,6.2,1842
2023,3,SP500,,,,,,500
2023,3,FTSE100,,,,,,100
2023,3,ASX200,,,,,,200
2023,3,CAC40,,,,,,40
2023,3,DAX40,,,,,,40
2023,3,EuroNext100,,,,,,83
2023,3,FTSE250,,,,,,250
