year,quarter,segment,flow,split_type,split_value,count_value,pct_value
2019,2,Financial Services,outgoing,first_timer,Yes,,
2019,2,Financial Services,outgoing,first_timer,No,,
2019,2,Healthcare,incoming,gender,Men,4,80.0
2019,2,Healthcare,incoming,gender,Women,1,20.0
2019,2,Healthcare,incoming,appointment,Internal,4,80.0
2019,2,Healthcare,incoming,appointment,External,1,20.0
2019,2,Healthcare,incoming,first_timer,Yes,,
2019,2,Healthcare,incoming,first_timer,No,,
2019,2,Healthcare,outgoing,gender,Men,3,100.0
2019,2,Healthcare,outgoing,gender,Women,0,0.0
2019,2,Healthcare,outgoing,appointment,Internal,2,66.7
2019,2,Healthcare,outgoing,appointment,External,1,33.3
2019,2,Healthcare,outgoing,first_timer,Yes,,
2019,2,Healthcare,outgoing,first_timer,No,,
2019,2,Industrial,incoming,gender,Men,,
2019,2,Industrial,incoming,gender,Women,,
2019,2,Industrial,incoming,appointment,Internal,,
2019,2,Industrial,incoming,appointment,External,,
2019,2,Industrial,incoming,first_timer,Yes,,
2019,2,Industrial,incoming,first_timer,No,,
2019,2,Industrial,outgoing,gender,Men,,
2019,2,Industrial,outgoing,gender,Women,,
2019,2,Industrial,outgoing,appointment,Internal,,
2019,2,Industrial,outgoing,appointment,External,,
2019,2,Industrial,outgoing,first_timer,Yes,,
2019,2,Industrial,outgoing,first_timer,No,,
2019,2,Technology,incoming,gender,Men,9,100.0
2019,2,Technology,incoming,gender,Women,0,0.0
2019,2,Technology,incoming,appointment,Internal,4,44.4
2019,2,Technology,incoming,appointment,External,5,55.6
2019,2,Technology,incoming,first_timer,Yes,,
2019,2,Technology,incoming,first_timer,No,,
2019,2,Technology,outgoing,gender,Men,6,100.0
2019,2,Technology,outgoing,gender,Women,0,0.0
2019,2,Technology,outgoing,appointment,Internal,4,66.7
2019,2,Technology,outgoing,appointment,External,2,33.3
2019,2,Technology,outgoing,first_timer,Yes,,
2019,2,Technology,outgoing,first_timer,No,,
2019,3,Global,incoming,gender,Men,37,90.2
2019,3,Global,incoming,gender,Women,4,9.8
2019,3,Global,incoming,appointment,Internal,20,48.8
2019,3,Global,incoming,appointment,External,21,51.2
2019,3,Global,incoming,first_timer,Yes,37,90.2
2019,3,Global,incoming,first_timer,No,4,9.8
2019,3,Global,outgoing,gender,Men,32,94.1
2019,3,Global,outgoing,gender,Women,2,5.9
2019,3,Global,outgoing,appointment,Internal,25,73.5
2019,3,Global,outgoing,appointment,External,9,26.5
2019,3,Global,outgoing,first_timer,Yes,27,79.4
2019,3,Global,outgoing,first_timer,No,7,20.6
2019,3,Consumer,incoming,gender,Men,8,100.0
2019,3,Consumer,incoming,gender,Women,0,0.0
2019,3,Consumer,incoming,appointment,Internal,3,37.5
2019,3,Consumer,incoming,appointment,External,5,62.5
2019,3,Consumer,incoming,first_timer,Yes,,
2019,3,Consumer,incoming,first_timer,No,,
2019,3,Consumer,outgoing,gender,Men,4,80.0
2019,3,Consumer,outgoing,gender,Women,1,20.0
2019,3,Consumer,outgoing,appointment,Internal,5,100.0
2019,3,Consumer,outgoing,appointment,External,0,0.0
2019,3,Consumer,outgoing,first_timer,Yes,,
2019,3,Consumer,outgoing,first_timer,No,,
2019,3,Financial Services,incoming,gender,Men,5,83.3
2019,3,Financial Services,incoming,gender,Women,1,16.7
2019,3,Financial Services,incoming,appointment,Internal,4,66.7
