year,quarter,segment,flow,split_type,split_value,count_value,pct_value
2019,1,Nikkei225,incoming,appointment,External,0,0.0
2019,1,Nikkei225,incoming,first_timer,Yes,,
2019,1,Nikkei225,incoming,first_timer,No,,
2019,1,Nikkei225,outgoing,gender,Men,,
2019,1,Nikkei225,outgoing,gender,Women,,
2019,1,Nikkei225,outgoing,appointment,Internal,,
2019,1,Nikkei225,outgoing,appointment,External,,
2019,1,Nikkei225,outgoing,first_timer,Yes,,
2019,1,Nikkei225,outgoing,first_timer,No,,
2019,1,NSENifty50,incoming,gender,Men,,
2019,1,NSENifty50,incoming,gender,Women,,
2019,1,NSENifty50,incoming,appointment,Internal,,
2019,1,NSENifty50,incoming,appointment,External,,
2019,1,NSENifty50,incoming,first_timer,Yes,,
2019,1,NSENifty50,incoming,first_timer,No,,
2019,1,NSENifty50,outgoing,gender,Men,,
2019,1,NSENifty50,outgoing,gender,Women,,
2019,1,NSENifty50,outgoing,appointment,Internal,,
2019,1,NSENifty50,outgoing,appointment,External,,
2019,1,NSENifty50,outgoing,first_timer,Yes,,
2019,1,NSENifty50,outgoing,first_timer,No,,
2019,1,SPTSX Composite,incoming,gender,Men,6,100.0
2019,1,SPTSX Composite,incoming,gender,Women,0,0.0
2019,1,SPTSX Composite,incoming,appointment,Internal,5,83.3
2019,1,SPTSX Composite,incoming,appointment,External,1,16.7
2019,1,SPTSX Composite,incoming,first_timer,Yes,,
2019,1,SPTSX Composite,incoming,first_timer,No,,
2019,1,SPTSX Composite,outgoing,gender,Men,3,100.0
2019,1,SPTSX Composite,outgoing,gender,Women,0,0.0
2019,1,SPTSX Composite,outgoing,appointment,Internal,3,100.0
2019,1,SPTSX Composite,outgoing,appointment,External,0,0.0
2019,1,SPTSX Composite,outgoing,first_timer,Yes,,
2019,1,SPTSX Composite,outgoing,first_timer,No,,
2019,1,STI,incoming,gender,Men,1,100.0
2019,1,STI,incoming,gender,Women,0,0.0
2019,1,STI,incoming,appointment,Internal,1,100.0
2019,1,STI,incoming,appointment,External,0,0.0
2019,1,STI,incoming,first_timer,Yes,,
2019,1,STI,incoming,first_timer,No,,
2019,1,STI,outgoing,gender,Men,1,100.0
2019,1,STI,outgoing,gender,Women,0,0.0
2019,1,STI,outgoing,appointment,Internal,1,100.0
2019,1,STI,outgoing,appointment,External,0,0.0
2019,1,STI,outgoing,first_timer,Yes,,
2019,1,STI,outgoing,first_timer,No,,
2019,1,SMI,incoming,gender,Men,,
2019,1,SMI,incoming,gender,Women,,
2019,1,SMI,incoming,appointment,Internal,,
2019,1,SMI,incoming,appointment,External,,
2019,1,SMI,incoming,first_timer,Yes,,
2019,1,SMI,incoming,first_timer,No,,
2019,1,SMI,outgoing,gender,Men,,
2019,1,SMI,outgoing,gender,Women,,
2019,1,SMI,outgoing,appointment,Internal,,
2019,1,SMI,outgoing,appointment,External,,
2019,1,SMI,outgoing,first_timer,Yes,,
2019,1,SMI,outgoing,first_timer,No,,
2019,2,Global,incoming,gender,Men,74,91.4
2019,2,Global,incoming,gender,Women,7,8.6
2019,2,Global,incoming,appointment,Internal,67,82.7
2019,2,Global,incoming,appointment,External,14,17.3
2019,2,Global,incoming,first_timer,Yes,72,88.9
2019,2,Global,incoming,first_timer,No,9,11.1
2019,2,Global,outgoing,gender,Men,62,98.4
2019,2,Global,outgoing,gender,Women,1,1.6
2019,2,Global,outgoing,appointment,Internal,53,84.1
2019,2,Global,outgoing,appointment,External,10,15.9
2019,2,Global,outgoing,first_timer,Yes,52,82.5
2019,2,Global,outgoing,first_timer,No,11,17.5
2019,2,SP500,incoming,gender,Men,17,89.5
2019,2,SP500,incoming,gender,Women,2,10.5
2019,2,SP500,incoming,appointment,Internal,14,73.7
2019,2,SP500,incoming,appointment,External,5,26.3
2019,2,SP500,incoming,first_timer,Yes,,
2019,2,SP500,incoming,first_timer,No,,
2019,2,SP500,outgoing,gender,Men,13,100.0
2019,2,SP500,outgoing,gender,Women,0,0.0
2019,2,SP500,outgoing,appointment,Internal,7,53.8
2019,2,SP500,outgoing,appointment,External,6,46.2
2019,2,SP500,outgoing,first_timer,Yes,,
2019,2,SP500,outgoing,first_timer,No,,
2019,2,FTSE100,incoming,gender,Men,,
2019,2,FTSE100,incoming,gender,Women,,
2019,2,FTSE100,incoming,appointment,Internal,,
2019,2,FTSE100,incoming,appointment,External,,
2019,2,FTSE100,incoming,first_timer,Yes,,
2019,2,FTSE100,incoming,first_timer,No,,
2019,2,FTSE100,outgoing,gender,Men,,
2019,2,FTSE100,outgoing,gender,Women,,
2019,2,FTSE100,outgoing,appointment,Internal,,
2019,2,FTSE100,outgoing,appointment,External,,
2019,2,FTSE100,outgoing,first_timer,Yes,,
2019,2,FTSE100,outgoing,first_timer,No,,
2019,2,ASX200,incoming,gender,Men,,
2019,2,ASX200,incoming,gender,Women,,
2019,2,ASX200,incoming,appointment,Internal,,
2019,2,ASX200,incoming,appointment,External,,
2019,2,ASX200,incoming,first_timer,Yes,,
2019,2,ASX200,incoming,first_timer,No,,
2019,2,ASX200,outgoing,gender,Men,,
2019,2,ASX200,outgoing,gender,Women,,
2019,2,ASX200,outgoing,appointment,Internal,,
2019,2,ASX200,outgoing,appointment,External,,
2019,2,ASX200,outgoing,first_timer,Yes,,
2019,2,ASX200,outgoing,first_timer,No,,
2019,2,CAC40,incoming,gender,Men,,
2019,2,CAC40,incoming,gender,Women,,
2019,2,CAC40,incoming,appointment,Internal,,
2019,2,CAC40,incoming,appointment,External,,
2019,2,CAC40,incoming,first_timer,Yes,,
2019,2,CAC40,incoming,first_timer,No,,
2019,2,CAC40,outgoing,gender,Men,,
2019,2,CAC40,outgoing,gender,Women,,
2019,2,CAC40,outgoing,appointment,Internal,,
2019,2,CAC40,outgoing,appointment,External,,
2019,2,CAC40,outgoing,first_timer,Yes,,
2019,2,CAC40,outgoing,first_timer,No,,
2019,2,DAX40,incoming,gender,Men,,
2019,2,DAX40,incoming,gender,Women,,
2019,2,DAX40,incoming,appointment,Internal,,
2019,2,DAX40,incoming,appointment,External,,
2019,2,DAX40,incoming,first_timer,Yes,,
2019,2,DAX40,incoming,first_timer,No,,
2019,2,DAX40,outgoing,gender,Men,,
2019,2,DAX40,outgoing,gender,Women,,
2019,2,DAX40,outgoing,appointment,Internal,,
2019,2,DAX40,outgoing,appointment,External,,
2019,2,DAX40,outgoing,first_timer,Yes,,
2019,2,DAX40,outgoing,first_timer,No,,
2019,2,EuroNext100,incoming,gender,Men,,
2019,2,EuroNext100,incoming,gender,Women,,
2019,2,EuroNext100,incoming,appointment,Internal,,
2019,2,EuroNext100,incoming,appointment,External,,
2019,2,EuroNext100,incoming,first_timer,Yes,,
2019,2,EuroNext100,incoming,first_timer,No,,
2019,2,EuroNext100,outgoing,gender,Men,,
