year,quarter,scope,segment,company_count
2022,4,index,FTSE250,250
2022,4,index,HANGSENG,75
2022,4,index,Nikkei225,225
2022,4,index,NSENifty50,50
2022,4,index,SPTSX Composite,226
2022,4,index,STI,29
2022,4,index,SMI,20
2023,1,index,Global,1855
2023,1,index,SP500,500
2023,1,index,FTSE100,100
2023,1,index,ASX200,200
2023,1,index,CAC40,40
2023,1,index,DAX40,40
2023,1,index,EuroNext100,100
2023,1,index,FTSE250,250
2023,1,index,HANGSENG,75
2023,1,index,Nikkei225,225
2023,1,index,NSENifty50,50
2023,1,index,SPTSX Composite,226
2023,1,index,STI,29
2023,1,index,SMI,20
2023,2,index,Global,1842
2023,2,index,SP500,500
2023,2,index,FTSE100,100
2023,2,index,ASX200,200
2023,2,index,CAC40,40
2023,2,index,DAX40,40
2023,2,index,EuroNext100,83
2023,2,index,FTSE250,250
2023,2,index,HANGSENG,78
2023,2,index,Nikkei225,225
2023,2,index,NSENifty50,50
2023,2,index,SPTSX Composite,226
2023,2,index,STI,30
2023,2,index,SMI,20
2023,3,index,Global,1842
2023,3,index,SP500,500
2023,3,index,FTSE100,100
2023,3,index,ASX200,200
2023,3,index,CAC40,40
2023,3,index,DAX40,40
2023,3,index,EuroNext100,83
2023,3,index,FTSE250,250
2023,3,index,HANGSENG,78
2023,3,index,Nikkei225,225
2023,3,index,NSENifty50,50
2023,3,index,SPTSX Composite,226
2023,3,index,STI,30
2023,3,index,SMI,20
2023,4,index,Global,1857
2023,4,index,SP500,500
2023,4,index,FTSE100,100
2023,4,index,ASX200,197
2023,4,index,CAC40,40
2023,4,index,DAX40,40
2023,4,index,EuroNext100,100
2023,4,index,FTSE250,250
2023,4,index,HANGSENG,82
2023,4,index,Nikkei225,225
2023,4,index,NSENifty50,50
2023,4,index,SPTSX Composite,223
2023,4,index,STI,30
2023,4,index,SMI,20
2024,1,index,Global,1859
2024,1,index,SP500,501
2024,1,index,FTSE100,100
2024,1,index,ASX200,199
2024,1,index,CAC40,40
2024,1,index,DAX40,39
2024,1,index,EuroNext100,100
2024,1,index,FTSE250,250
2024,1,index,HANGSENG,82
2024,1,index,Nikkei225,225
2024,1,index,NSENifty50,50
2024,1,index,SPTSX Composite,223
2024,1,index,STI,30
2024,1,index,SMI,20
2024,2,index,Global,1860
2024,2,index,SP500,500
2024,2,index,FTSE100,100
2024,2,index,ASX200,199
2024,2,index,CAC40,40
2024,2,index,DAX40,40
2024,2,index,EuroNext100,100
2024,2,index,FTSE250,249
2024,2,index,HANGSENG,82
2024,2,index,Nikkei225,225
2024,2,index,NSENifty50,50
2024,2,index,SPTSX Composite,225
2024,2,index,STI,30
2024,2,index,SMI,20
2024,3,index,Global,1869
2024,3,index,SP500,503
2024,3,index,FTSE100,102
2024,3,index,ASX200,202
2024,3,index,CAC40,40
2024,3,index,DAX40,40
2024,3,index,EuroNext100,99
2024,3,index,FTSE250,251
2024,3,index,HANGSENG,82
2024,3,index,Nikkei225,225
